(-0.00942972672345+0j) (-0.00226694814658+0j) (0.0111656135027+0j) (0.00700302145378+0j) (0.00683787228182+0j) (0.00289786324252+0j) (0.0137434067997+0j) (-0.00588504800074+0j) (-0.00428870937554+0j) (0.00070005146234+0j) (0.00966576526442+0j) (-0.00520183597791+0j) (-0.00455974971787+0j) (-0.00194563541189+0j) (-0.00589329782216+0j) (-0.000791292071161+0j) (0.00498613851165+0j) (0.00809063827316+0j) (0.0048297620915+0j) (-0.00236929500148+0j)
(-0.0019435750092-0.00114832692333j) (-0.00466480019143-0.000990472959602j) (-0.00592847389299-0.00104548041672j) (-0.00732904296902-0.000939053482535j) (-0.00910324148424-0.00133481068625j) (-0.0102861916079-0.00171980362367j) (-0.0117628839808-0.00270870376685j) (-0.0122373532641-0.00190164631502j) (-0.0131297677305-0.00213079022066j) (-0.0126150223239-0.00249472618806j) (-0.0130925640489-0.00177583746789j) (-0.0123132531625-0.000964146068058j) (-0.0132792630022-0.00190951870741j) (-0.0112026443552-0.00112712141271j) (-0.0105862988013-0.00235603823822j) (-0.00906303552258-0.00152987718704j) (-0.00684578188226-0.00218364877242j) (-0.00632431225453-0.00148232560412j) (-0.00411912973717-0.0012224559032j) (-0.0025184240009-0.000386312359551j)
(-0.00332585021533-0.00139139849737j) (-0.00595869175317-0.00140154448921j) (-0.00905363730964-0.00091542740783j) (-0.0100232065513-0.000713169353798j) (-0.0130421761429-0.00105078661182j) (-0.0153092663529-0.00138452119479j) (-0.0167418970016-0.00230628288643j) (-0.0182980049148-0.00196700812395j) (-0.019165026584-0.00196965036771j) (-0.0185415918552-0.00240142013708j) (-0.0194415698897-0.00218851863908j) (-0.0182496799152-0.00273488030677j) (-0.0178940487183-0.00220689932953j) (-0.0165172568146-0.0030184950124j) (-0.0151754907873-0.00315496461752j) (-0.0116152443182-0.00203417915542j) (-0.010100174213-0.00317933606833j) (-0.00885855556124-0.00174569405819j) (-0.00678394106528-0.00208449626512j) (-0.00269200025923-0.00124408083166j)
(-0.00277551279811-0.00113183368762j) (-0.00618221175859-0.00110677001921j) (-0.00957489760205-0.00130132418138j) (-0.0102360488469-0.000858616054912j) (-0.0121523065626-0.00151819530754j) (-0.0150518480971-0.00178083120058j) (-0.0162812903443-0.00231428718362j) (-0.0180610412718-0.00255561456377j) (-0.0202665208291-0.0024246201814j) (-0.0196030925425-0.00279340268287j) (-0.0189877873249-0.00348293411923j) (-0.0185466174383-0.003712777612j) (-0.0176247187365-0.00340398558722j) (-0.0163137844339-0.00395689957823j) (-0.01532305956-0.00297643387494j) (-0.0113596863804-0.002176650054j) (-0.0101984497488-0.0030416374123j) (-0.00892690261495-0.00235213949278j) (-0.00545815721461-0.00211885484042j) (-0.00222604795657-0.00115692143463j)
(-0.00307803509337-0.000489847569895j) (-0.00641637337785-0.000840218119089j) (-0.00969037894762-0.0018036434056j) (-0.0127048978167-0.00126871021093j) (-0.0151025759847-0.00256280040456j) (-0.0172388276678-0.00180522500883j) (-0.0182772213961-0.000823963890991j) (-0.0208142415767-0.00300384785318j) (-0.0215079806249-0.00184322814669j) (-0.0214956419416-0.00209705178517j) (-0.0213522860721-0.00320875666315j) (-0.0211375823905-0.00250205951979j) (-0.0193155859232-0.00260767672146j) (-0.0178156650611-0.00183764882562j) (-0.0172190072833-0.00218652111965j) (-0.0153916009215-0.0018118692571j) (-0.0123176027943-0.00211026802926j) (-0.0100384925105-0.00181139165804j) (-0.00621697183893-0.00170305700069j) (-0.00284084147708-0.000988665187189j)
(-0.00386546744893-0.000993204917285j) (-0.00705151190928-0.00239344514919j) (-0.0100496841733-0.00261813366364j) (-0.0124636870327-0.00375174137352j) (-0.0161847980752-0.00464330297144j) (-0.0178897123162-0.00497983008421j) (-0.0194541693955-0.00527809419769j) (-0.0214604770692-0.00704864019972j) (-0.0221445475825-0.00659000110602j) (-0.0218230399136-0.00643799525842j) (-0.0220843998959-0.00702116984362j) (-0.0225493459981-0.00686363141756j) (-0.0199681048525-0.00627486510384j) (-0.0182769147071-0.0062264171568j) (-0.0182357744923-0.00488169030054j) (-0.0161117378829-0.00489963054724j) (-0.0128795300682-0.00380538051208j) (-0.00881950116582-0.0031464016164j) (-0.00696941992239-0.00242909561027j) (-0.00336004370595-0.000880047247758j)
(-0.00372811378155-0.00136619029976j) (-0.00777314659032-0.00277605995774j) (-0.0102913022177-0.00333133954274j) (-0.0125294296621-0.00376233726054j) (-0.0155384872872-0.00446576546718j) (-0.0167060812465-0.00596622922901j) (-0.0193567957538-0.00589247279605j) (-0.020527196063-0.00723768353546j) (-0.0209204212063-0.0076481329806j) (-0.0206286238586-0.00815598489297j) (-0.0209332097152-0.0079622593265j) (-0.0205572478976-0.0080659211125j) (-0.0191148085223-0.007584693913j) (-0.0170469127288-0.00795295260826j) (-0.0170505469632-0.00666618992008j) (-0.0139463137523-0.00575564425417j) (-0.0110835402103-0.00490512645535j) (-0.00783615407833-0.00412174256271j) (-0.00611036234941-0.00313084135731j) (-0.00316996856577-0.000948020236216j)
(-0.00562868012269-0.00215332964906j) (-0.0148833190905-0.00527960993834j) (-0.019847067295-0.00517535823863j) (-0.0245575663945-0.0066154453833j) (-0.0302370736398-0.00840089665797j) (-0.0352459839943-0.0101348179484j) (-0.0387010436642-0.0106808092126j) (-0.0417277445031-0.0124223310077j) (-0.0423331847955-0.0143118796196j) (-0.0432864900736-0.0145278136163j) (-0.0435929384161-0.0140048854291j) (-0.0416857287729-0.0138840955757j) (-0.0416629088845-0.0137346301178j) (-0.0381388346763-0.0139481846901j) (-0.0345559778189-0.0117517574386j) (-0.0301388915833-0.00990230229301j) (-0.0245857529935-0.00986298783805j) (-0.0189585130488-0.00779750755546j) (-0.0135538990256-0.00575597459397j) (-0.00762323766774-0.00224237165505j)
(-0.0126796509631-0.00657137037164j) (-0.0276013388405-0.0126482452212j) (-0.0394091362757-0.0171606169273j) (-0.0514244913341-0.0217189544521j) (-0.0625657700481-0.0266954067203j) (-0.0722317555508-0.0307645971702j) (-0.076465525372-0.0330984195753j) (-0.0845065083704-0.0367600183653j) (-0.0861400679998-0.0382341476007j) (-0.087870262279-0.0387942922918j) (-0.0872676831379-0.0387413206439j) (-0.0855534529019-0.0373597641408j) (-0.0851759825263-0.035259609404j) (-0.0778114404501-0.0333029776285j) (-0.0695149532564-0.0295431606763j) (-0.0621830826826-0.0264282347749j) (-0.0506113706251-0.0229602563249j) (-0.0394497057247-0.0169924801052j) (-0.0277862590894-0.0114819134865j) (-0.0141830663267-0.00495914859344j)
(-0.00948585748968-0.00610306569723j) (-0.0194222305629-0.0110208948861j) (-0.0280772583132-0.0165399960587j) (-0.0380691303702-0.0204985757353j) (-0.0443690172929-0.0234362565661j) (-0.0508391244307-0.0278194454173j) (-0.0550873677439-0.0301170769317j) (-0.0600174802387-0.0331264454434j) (-0.0613358406725-0.0338168601247j) (-0.0626161591094-0.0335395144839j) (-0.0631053923143-0.0353133317502j) (-0.0610812468685-0.0334333521032j) (-0.059057346556-0.0321246776065j) (-0.0550274271807-0.0300497308568j) (-0.0482385555165-0.0285118982286j) (-0.0431625653326-0.0246396708492j) (-0.0360116272233-0.0204718946466j) (-0.0282885642397-0.0158165527308j) (-0.0181095383794-0.00969766736893j) (-0.0099349719164-0.00576135688736j)
(0.000121700428161-0.0153020831913j) (-0.000471633388229-0.0304333366768j) (0.000438493351825-0.0444256431475j) (0.000693494690185-0.057126418269j) (0.0017529658592-0.0677198858833j) (0.00185519043614-0.0794973670249j) (0.00199370313488-0.0875129709532j) (0.0021023960728-0.0942962644676j) (0.00357792962879-0.0983049216848j) (0.00293086080502-0.100281984014j) (0.00229460544083-0.101208546249j) (0.00334549983236-0.0990561729315j) (0.0034135832728-0.0949122983352j) (0.0023032949276-0.0876785780551j) (0.00262004276356-0.0811854747931j) (0.00153095596878-0.0696675823212j) (0.00220466294193-0.0575043537329j) (0.00176259521118-0.04482799655j) (0.0015521520658-0.02938224417j) (-0.00023124702244-0.0162791569496j)
