(-0.00233758713911+0j) (-0.00372276661379+0j) (-0.000279788345642+0j) (0.00493313191902+0j) (-0.00268041442962+0j) (-0.00266043948858+0j) (-0.00189147702748+0j) (-0.00363783161038+0j) (-0.00377731027188+0j) (0.00332512518519+0j) (0.00504445330641+0j) (0.00507914027738+0j) (-0.00350787066682+0j) (-4.26152142232e-05+0j) (0.00160511649392+0j) (-0.00679344531575+0j) (-0.00719808487728+0j) (0.0033178936095+0j) (-0.00471480397703+0j) (-0.00359567604014+0j)
(-0.00164200829268-0.000657465656522j) (-0.00283269889003-0.000354770150277j) (-0.00389488890244-0.000445855252377j) (-0.0067095222651-0.00108121970053j) (-0.00680927130594-0.000589443332434j) (-0.00800143909313-0.000869849079457j) (-0.00964409229078-0.000970121797212j) (-0.00948669286012-0.00147778107513j) (-0.00963861777068-0.000419890586808j) (-0.01028643975-0.000551442200207j) (-0.00976514722945-0.00112043950094j) (-0.0103682843392-0.00127453314607j) (-0.0141457517465-0.00138747858611j) (-0.0060907246307-0.00109711866174j) (-0.00888499826377-0.000376134073652j) (-0.00688819893812-0.00138904395846j) (-0.00633511155777-0.000408565046702j) (-0.00466650643461-0.000140876294002j) (-0.00315412237612-0.000969244407893j) (-0.00136659215521-0.00106202564764j)
(-0.00286147915336-0.000782654954269j) (-0.00474606936074-0.000892839181168j) (-0.00703251610141-0.00138278846127j) (-0.0102742296285-0.0017613647393j) (-0.0109213791191-0.00130926681293j) (-0.0117215955227-0.00203075913279j) (-0.0135510196558-0.0030606354537j) (-0.0143666165315-0.00240868315634j) (-0.0142730904723-0.00291165118906j) (-0.0151740453072-0.00259460926655j) (-0.0145682823331-0.00377797269724j) (-0.0133182251265-0.00378891295131j) (-0.0178660809145-0.00361047448418j) (-0.00756718162901-0.00322113236141j) (-0.0109942851632-0.00203628064392j) (-0.00921519856168-0.00374384875965j) (-0.00708252596433-0.00241310300368j) (-0.00529769911733-0.00125257994756j) (-0.00412255090039-0.000824944069574j) (-0.00172945611154-0.00167137937451j)
(-0.00281107078312-0.00133284190765j) (-0.00581985524187-0.00172839851929j) (-0.00880552466843-0.0025813461505j) (-0.0107203304205-0.00218511789788j) (-0.0130454632073-0.00263617992225j) (-0.0136615216292-0.00272862642537j) (-0.0163834560629-0.00368305727936j) (-0.0174598754698-0.00416998388839j) (-0.0183064027818-0.00468315985811j) (-0.0178630819688-0.00368990573945j) (-0.0172621297826-0.00487092564355j) (-0.0161165275701-0.00529787161587j) (-0.0204085596266-0.00451544826007j) (-0.0103053048207-0.00244714838288j) (-0.0127566961053-0.00351295097892j) (-0.0113631546647-0.00388926257528j) (-0.00929729888196-0.00403389085824j) (-0.0084319493763-0.00213009824381j) (-0.00604156981992-0.00124557549427j) (-0.00298485957605-0.00118255887782j)
(-0.00331975126872-0.000660811433563j) (-0.00612530516691-0.0022403272742j) (-0.00924030833269-0.00364421272694j) (-0.0108807191064-0.00316075884608j) (-0.0136190639401-0.00365187505224j) (-0.0152915116389-0.00317978850798j) (-0.0168098111678-0.00339188620117j) (-0.0170258028515-0.00475675250091j) (-0.0190082466405-0.00488134002964j) (-0.0172498379298-0.00471860304265j) (-0.0178871720237-0.00487872901245j) (-0.0174919472013-0.00502635976873j) (-0.0212208644595-0.00465497250724j) (-0.0110392503786-0.00267497090908j) (-0.0134719038843-0.00424111991828j) (-0.0127359791845-0.00366506426277j) (-0.00957688645199-0.00331902142645j) (-0.00946209184507-0.00227741661201j) (-0.00578187727446-0.00117959412359j) (-0.00334477032098-0.00156937626985j)
(-0.00355780238551-0.00100287214661j) (-0.00679289544213-0.00205443588849j) (-0.00959446894833-0.00312685119484j) (-0.0120176515666-0.00243892378827j) (-0.0133600477812-0.00397882365648j) (-0.0148824079785-0.00385530924j) (-0.0163368949851-0.00389230197281j) (-0.017820760018-0.00517564998333j) (-0.0186097548492-0.00524567177979j) (-0.017797935979-0.00516065095573j) (-0.0196536353676-0.00578005420143j) (-0.0185263892442-0.00688810559248j) (-0.0214674304201-0.00596177189748j) (-0.0127980468054-0.00401719362158j) (-0.0153030131832-0.0057725577175j) (-0.0147260981497-0.00532032777068j) (-0.0113787803866-0.00332980772443j) (-0.00961496513235-0.00361220936837j) (-0.00580895103488-0.00136728722221j) (-0.00319001501941-0.00212899602623j)
(-0.0035257927382-0.00133247630745j) (-0.00900781269264-0.00212312856731j) (-0.012060332412-0.00293319636278j) (-0.0161684979732-0.00262572592123j) (-0.0186564308795-0.00414180804766j) (-0.0205375430455-0.0046717824249j) (-0.0246416080114-0.00414607062414j) (-0.0264235589493-0.00505569461735j) (-0.0271873323589-0.00636790493351j) (-0.027156025886-0.00661415027018j) (-0.0280800643114-0.00719243624031j) (-0.0274152722142-0.0078522757351j) (-0.0315965455581-0.00649061867669j) (-0.0189006122062-0.00408859964292j) (-0.022413096341-0.00579529598013j) (-0.0198112680769-0.0041393391786j) (-0.0163067798362-0.00394753555465j) (-0.0137289073838-0.00297570512407j) (-0.00842633471591-0.0015913440565j) (-0.00388555980206-0.00253795892046j)
(-0.00827436357237-0.00184872667887j) (-0.019151386275-0.00265234042916j) (-0.0277057863261-0.00473713484963j) (-0.0361932522236-0.00421234470113j) (-0.0428520686853-0.00603018094096j) (-0.0507285558108-0.00577476860401j) (-0.0560583079961-0.00644000301701j) (-0.059866570844-0.00787513786276j) (-0.0618847141592-0.00781248539928j) (-0.0634592116795-0.0081419331231j) (-0.0633279271814-0.00791041236609j) (-0.0630188277144-0.00718695864348j) (-0.07187228931-0.00797444852883j) (-0.0424789532808-0.00342918952889j) (-0.0520052278884-0.00379955898895j) (-0.0434965258625-0.00491091647998j) (-0.0375517777518-0.00419691717312j) (-0.0296951229842-0.00208576227702j) (-0.0200151622548-0.00270038854949j) (-0.00951481864006-0.0025220853141j)
(-0.0145782371606-0.00629226653906j) (-0.0297170190056-0.0106156726801j) (-0.0429947096346-0.0154853255225j) (-0.0566535561483-0.0178550699107j) (-0.0661486424406-0.0223129832044j) (-0.0772044427996-0.0234263619537j) (-0.0852236934061-0.0269724079818j) (-0.0895410023841-0.0281807592522j) (-0.0928635333907-0.0278351490699j) (-0.0969662702322-0.0281234060712j) (-0.0963542028473-0.0284348567707j) (-0.0942987406223-0.0279749062975j) (-0.107396123175-0.0315979110858j) (-0.063410200339-0.0181271936933j) (-0.0769423506982-0.0195381564831j) (-0.065563494724-0.0183042794841j) (-0.0541277326991-0.0158518455629j) (-0.0423976738355-0.0114468343634j) (-0.0298958765824-0.00918278050745j) (-0.0143080893259-0.0065999986072j)
(-0.0176114467577-0.0133098943458j) (-0.0345188344446-0.0250135258213j) (-0.0520343644368-0.0364152807753j) (-0.0659827781571-0.0485729382048j) (-0.0788149491273-0.0584573787184j) (-0.0887455088414-0.0668750178988j) (-0.0988673065519-0.0732911427086j) (-0.105796910046-0.0783978025208j) (-0.10969821129-0.0826401351625j) (-0.114648073602-0.082807237054j) (-0.114489496388-0.082187230272j) (-0.111267888846-0.0828352614735j) (-0.124544823873-0.0925879641657j) (-0.0808585457679-0.0584969940335j) (-0.0910613657566-0.0651984235114j) (-0.0786295861611-0.0569461554038j) (-0.0653040426827-0.0466112752044j) (-0.0503540894096-0.0368344154669j) (-0.0340608086095-0.0239516840774j) (-0.0185445724252-0.0145791693952j)
(-0.0126351438405-0.0142075915684j) (-0.0255928104709-0.0289484446715j) (-0.0397539802022-0.0422222874561j) (-0.0500366528373-0.0556132192471j) (-0.0602942484822-0.0678371056544j) (-0.0689320747025-0.0774346792817j) (-0.0759654213312-0.0850641277372j) (-0.0824840677026-0.0918271061451j) (-0.0859237191277-0.0959298256267j) (-0.0884504823728-0.0977595525332j) (-0.0890052079587-0.0974039710191j) (-0.0869302589424-0.0960508956243j) (-0.0975231068213-0.107779539546j) (-0.0657433976271-0.0691999723999j) (-0.0717422088353-0.0771891405681j) (-0.0616758459353-0.067200120102j) (-0.0520366292016-0.0552715618201j) (-0.0405537253736-0.0429186317008j) (-0.0270904985942-0.0281322760726j) (-0.0144873109148-0.0158582860919j)
